Date,Origin,Residence permit,Male,Female
1999-12-31,Australia and Oceania,Permission to reside,1,1
1999-12-31,Australia and Oceania,"No res.title, temp.susp. of dep. or perm.to reside",611,532
2000-12-31,Europe,Right of resid. acc.to EU Law on Freedom of Movem.,1050494,846212
2000-12-31,Europe,Exempted from requirem. to have a residence title,32605,25286
2000-12-31,Europe,Unlimited settlement permit,1006803,886807
2000-12-31,Europe,Temporary residence permit,703776,689015
2000-12-31,Europe,"Temp.resid.permit f.special reasons,national visas",703776,689015
2000-12-31,Europe,Application for residence title filed,1191,1195
2000-12-31,Europe,Temporary suspension of deportation,89906,77772
2000-12-31,Europe,Permission to reside,47829,33842
2000-12-31,Europe,"No res.title, temp.susp. of dep. or perm.to reside",222998,141978
2000-12-31,Africa,Right of resid. acc.to EU Law on Freedom of Movem.,2181,1236
2000-12-31,Africa,Exempted from requirem. to have a residence title,1672,1376
2000-12-31,Africa,Unlimited settlement permit,56209,28890
2000-12-31,Africa,Temporary residence permit,71459,48996
2000-12-31,Africa,"Temp.resid.permit f.special reasons,national visas",71459,48996
2000-12-31,Africa,Application for residence title filed,207,116
2000-12-31,Africa,Temporary suspension of deportation,12546,4920
2000-12-31,Africa,Permission to reside,13157,5449
2000-12-31,Africa,"No res.title, temp.susp. of dep. or perm.to reside",36505,13997
2000-12-31,America,Right of resid. acc.to EU Law on Freedom of Movem.,2011,3387
2000-12-31,America,Exempted from requirem. to have a residence title,2153,1226
2000-12-31,America,Unlimited settlement permit,38032,41909
2000-12-31,America,Temporary residence permit,45061,50651
2000-12-31,America,"Temp.resid.permit f.special reasons,national visas",45061,50651
2000-12-31,America,Application for residence title filed,243,223
2000-12-31,America,Temporary suspension of deportation,174,225
2000-12-31,America,Permission to reside,285,194
2000-12-31,America,"No res.title, temp.susp. of dep. or perm.to reside",14248,13209
2000-12-31,Asia,Right of resid. acc.to EU Law on Freedom of Movem.,1980,2231
2000-12-31,Asia,Exempted from requirem. to have a residence title,404,416
2000-12-31,Asia,Unlimited settlement permit,118793,110441
2000-12-31,Asia,Temporary residence permit,189979,184608
2000-12-31,Asia,"Temp.resid.permit f.special reasons,national visas",189979,184608
2000-12-31,Asia,Application for residence title filed,511,563
2000-12-31,Asia,Temporary suspension of deportation,29215,17004
2000-12-31,Asia,Permission to reside,41729,23886
2000-12-31,Asia,"No res.title, temp.susp. of dep. or perm.to reside",74465,44628
2000-12-31,Australia and Oceania,Right of resid. acc.to EU Law on Freedom of Movem.,122,191
2000-12-31,Australia and Oceania,Exempted from requirem. to have a residence title,29,22
2000-12-31,Australia and Oceania,Unlimited settlement permit,1590,1729
2000-12-31,Australia and Oceania,Temporary residence permit,3176,2367
2000-12-31,Australia and Oceania,"Temp.resid.permit f.special reasons,national visas",3176,2367
2000-12-31,Australia and Oceania,Application for residence title filed,4,13
2000-12-31,Australia and Oceania,Temporary suspension of deportation,7,2
2000-12-31,Australia and Oceania,Permission to reside,1,1
2000-12-31,Australia and Oceania,"No res.title, temp.susp. of dep. or perm.to reside",602,533
2001-12-31,Europe,Right of resid. acc.to EU Law on Freedom of Movem.,1047589,848077
2001-12-31,Europe,Exempted from requirem. to have a residence title,29017,22525
2001-12-31,Europe,Unlimited settlement permit,1021747,914268
2001-12-31,Europe,Temporary residence permit,705885,701566
2001-12-31,Europe,"Temp.resid.permit f.special reasons,national visas",705885,701566
2001-12-31,Europe,Application for residence title filed,1475,1505
2001-12-31,Europe,Temporary suspension of deportation,73526,65009
2001-12-31,Europe,Permission to reside,43295,29202
2001-12-31,Europe,"No res.title, temp.susp. of dep. or perm.to reside",202066,127856
2001-12-31,Africa,Right of resid. acc.to EU Law on Freedom of Movem.,2277,1361
2001-12-31,Africa,Exempted from requirem. to have a residence title,1504,1247
2001-12-31,Africa,Unlimited settlement permit,56930,29704
2001-12-31,Africa,Temporary residence permit,73430,51610
2001-12-31,Africa,"Temp.resid.permit f.special reasons,national visas",73430,51610
2001-12-31,Africa,Application for residence title filed,241,141
2001-12-31,Africa,Temporary suspension of deportation,13308,5070
2001-12-31,Africa,Permission to reside,12959,5175
2001-12-31,Africa,"No res.title, temp.susp. of dep. or perm.to reside",33962,13236
2001-12-31,America,Right of resid. acc.to EU Law on Freedom of Movem.,2105,3698
2001-12-31,America,Exempted from requirem. to have a residence title,2200,1267
2001-12-31,America,Unlimited settlement permit,38773,43810
2001-12-31,America,Temporary residence permit,46509,52780
2001-12-31,America,"Temp.resid.permit f.special reasons,national visas",46509,52780
2001-12-31,America,Application for residence title filed,270,223
2001-12-31,America,Temporary suspension of deportation,194,227
2001-12-31,America,Permission to reside,267,193
2001-12-31,America,"No res.title, temp.susp. of dep. or perm.to reside",13762,12557
2001-12-31,Asia,Right of resid. acc.to EU Law on Freedom of Movem.,1998,2437
2001-12-31,Asia,Exempted from requirem. to have a residence title,402,430
2001-12-31,Asia,Unlimited settlement permit,116975,115001
2001-12-31,Asia,Temporary residence permit,209664,201459
2001-12-31,Asia,"Temp.resid.permit f.special reasons,national visas",209664,201459
2001-12-31,Asia,Application for residence title filed,770,749
2001-12-31,Asia,Temporary suspension of deportation,31139,17347
2001-12-31,Asia,Permission to reside,42069,22222
2001-12-31,Asia,"No res.title, temp.susp. of dep. or perm.to reside",70602,42112
2001-12-31,Australia and Oceania,Right of resid. acc.to EU Law on Freedom of Movem.,138,217
2001-12-31,Australia and Oceania,Exempted from requirem. to have a residence title,27,28
2001-12-31,Australia and Oceania,Unlimited settlement permit,1609,1764
2001-12-31,Australia and Oceania,Temporary residence permit,3531,2597
2001-12-31,Australia and Oceania,"Temp.resid.permit f.special reasons,national visas",3531,2597
2001-12-31,Australia and Oceania,Application for residence title filed,25,19
2001-12-31,Australia and Oceania,Temporary suspension of deportation,8,4
2001-12-31,Australia and Oceania,Permission to reside,9,1
2001-12-31,Australia and Oceania,"No res.title, temp.susp. of dep. or perm.to reside",657,549
2002-12-31,Europe,Right of resid. acc.to EU Law on Freedom of Movem.,1041097,848398
2002-12-31,Europe,Exempted from requirem. to have a residence title,25628,20244
2002-12-31,Europe,Unlimited settlement permit,1037876,945425
2002-12-31,Europe,Temporary residence permit,695484,706977
2002-12-31,Europe,"Temp.resid.permit f.special reasons,national visas",695484,706977
2002-12-31,Europe,Application for residence title filed,1734,1870
2002-12-31,Europe,Temporary suspension of deportation,68103,61749
2002-12-31,Europe,Permission to reside,33390,21951
2002-12-31,Europe,"No res.title, temp.susp. of dep. or perm.to reside",188683,117974
2002-12-31,Africa,Right of resid. acc.to EU Law on Freedom of Movem.,2349,1471
2002-12-31,Africa,Exempted from requirem. to have a residence title,1358,1133
2002-12-31,Africa,Unlimited settlement permit,57675,30968
2002-12-31,Africa,Temporary residence permit,75590,54567
2002-12-31,Africa,"Temp.resid.permit f.special reasons,national visas",75590,54567
2002-12-31,Africa,Application for residence title filed,334,186
2002-12-31,Africa,Temporary suspension of deportation,14291,5471
2002-12-31,Africa,Permission to reside,11914,5153
2002-12-31,Africa,"No res.title, temp.susp. of dep. or perm.to reside",32280,12538
2002-12-31,America,Right of resid. acc.to EU Law on Freedom of Movem.,2217,4000
2002-12-31,America,Exempted from requirem. to have a residence title,2242,1307
2002-12-31,America,Unlimited settlement permit,39430,45745
2002-12-31,America,Temporary residence permit,47924,54217
2002-12-31,America,"Temp.resid.permit f.special reasons,national visas",47924,54217
2002-12-31,America,Application for residence title filed,335,287
2002-12-31,America,Temporary suspension of deportation,211,275
2002-12-31,America,Permission to reside,210,146
2002-12-31,America,"No res.title, temp.susp. of dep. or perm.to reside",13187,12079
2002-12-31,Asia,Right of resid. acc.to EU Law on Freedom of Movem.,1974,2657
2002-12-31,Asia,Exempted from requirem. to have a residence title,388,427
2002-12-31,Asia,Unlimited settlement permit,114441,119089
2002-12-31,Asia,Temporary residence permit,225458,217100
2002-12-31,Asia,"Temp.resid.permit f.special reasons,national visas",225458,217100
2002-12-31,Asia,Application for residence title filed,877,903
2002-12-31,Asia,Temporary suspension of deportation,33088,18386
2002-12-31,Asia,Permission to reside,37212,20029
2002-12-31,Asia,"No res.title, temp.susp. of dep. or perm.to reside",67397,39459
2002-12-31,Australia and Oceania,Right of resid. acc.to EU Law on Freedom of Movem.,161,221
2002-12-31,Australia and Oceania,Exempted from requirem. to have a residence title,26,31
2002-12-31,Australia and Oceania,Unlimited settlement permit,1631,1823
2002-12-31,Australia and Oceania,Temporary residence permit,3891,2748
2002-12-31,Australia and Oceania,"Temp.resid.permit f.special reasons,national visas",3891,2748
2002-12-31,Australia and Oceania,Application for residence title filed,31,34
2002-12-31,Australia and Oceania,Temporary suspension of deportation,5,4
2002-12-31,Australia and Oceania,"No res.title, temp.susp. of dep. or perm.to reside",681,541
2003-12-31,Europe,Right of resid. acc.to EU Law on Freedom of Movem.,1032854,845857
2003-12-31,Europe,Exempted from requirem. to have a residence title,24081,19109
2003-12-31,Europe,Unlimited settlement permit,1054230,976097
2003-12-31,Europe,Temporary residence permit,681630,710201
2003-12-31,Europe,"Temp.resid.permit f.special reasons,national visas",681630,710201
2003-12-31,Europe,Application for residence title filed,2127,2343
2003-12-31,Europe,Temporary suspension of deportation,64302,59796
2003-12-31,Europe,Permission to reside,22738,15253
2003-12-31,Europe,"No res.title, temp.susp. of dep. or perm.to reside",178599,110900
2003-12-31,Africa,Right of resid. acc.to EU Law on Freedom of Movem.,2449,1583
2003-12-31,Africa,Exempted from requirem. to have a residence title,1300,1084
2003-12-31,Africa,Unlimited settlement permit,58126,32060
2003-12-31,Africa,Temporary residence permit,76924,57036
2003-12-31,Africa,"Temp.resid.permit f.special reasons,national visas",76924,57036
2003-12-31,Africa,Application for residence title filed,591,368
2003-12-31,Africa,Temporary suspension of deportation,14981,6056
2003-12-31,Africa,Permission to reside,10123,4579
2003-12-31,Africa,"No res.title, temp.susp. of dep. or perm.to reside",30590,11976
2003-12-31,America,Right of resid. acc.to EU Law on Freedom of Movem.,2328,4247
2003-12-31,America,Exempted from requirem. to have a residence title,2769,1675
2003-12-31,America,Unlimited settlement permit,39896,47627
2003-12-31,America,Temporary residence permit,48863,55337
2003-12-31,America,"Temp.resid.permit f.special reasons,national visas",48863,55337
2003-12-31,America,Application for residence title filed,471,384
2003-12-31,America,Temporary suspension of deportation,217,271
2003-12-31,America,Permission to reside,161,115
2003-12-31,America,"No res.title, temp.susp. of dep. or perm.to reside",12553,11525
2003-12-31,Asia,Right of resid. acc.to EU Law on Freedom of Movem.,2000,2848
2003-12-31,Asia,Exempted from requirem. to have a residence title,458,469
