Date,Origin,Residence permit,Male,Female
2006-12-31,Australia and Oceania,Temporary residence permit for employment purposes,814,440
2006-12-31,Australia and Oceania,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",4,5
2006-12-31,Australia and Oceania,Temporary residence permit for family reasons,513,540
2006-12-31,Australia and Oceania,"Temp.resid.permit f.special reasons,national visas",1385,1228
2006-12-31,Australia and Oceania,Application for residence title filed,113,85
2006-12-31,Australia and Oceania,Temporary suspension of deportation,2,3
2006-12-31,Australia and Oceania,Permission to reside,2,1
2006-12-31,Australia and Oceania,"No res.title, temp.susp. of dep. or perm.to reside",574,317
2007-12-31,Europe,Right of resid. acc.to EU Law on Freedom of Movem.,1239368,1133095
2007-12-31,Europe,Exempted from requirem. to have a residence title,5963,4846
2007-12-31,Europe,Unlimited settlement permit,1005678,909439
2007-12-31,Europe,Temporary residence permit,416900,490982
2007-12-31,Europe,Temporary residence permit for education purposes,10402,15920
2007-12-31,Europe,Temporary residence permit for employment purposes,15610,6845
2007-12-31,Europe,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",40871,41384
2007-12-31,Europe,Temporary residence permit for family reasons,188308,265471
2007-12-31,Europe,"Temp.resid.permit f.special reasons,national visas",161709,161362
2007-12-31,Europe,Application for residence title filed,15571,12771
2007-12-31,Europe,Temporary suspension of deportation,29256,26586
2007-12-31,Europe,Permission to reside,3278,2293
2007-12-31,Europe,"No res.title, temp.susp. of dep. or perm.to reside",45967,34255
2007-12-31,Africa,Right of resid. acc.to EU Law on Freedom of Movem.,2950,2084
2007-12-31,Africa,Exempted from requirem. to have a residence title,364,325
2007-12-31,Africa,Unlimited settlement permit,56593,35430
2007-12-31,Africa,Temporary residence permit,68326,59729
2007-12-31,Africa,Temporary residence permit for education purposes,14705,4853
2007-12-31,Africa,Temporary residence permit for employment purposes,2329,1306
2007-12-31,Africa,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",8972,8435
2007-12-31,Africa,Temporary residence permit for family reasons,29385,34459
2007-12-31,Africa,"Temp.resid.permit f.special reasons,national visas",12935,10676
2007-12-31,Africa,Application for residence title filed,5138,3068
2007-12-31,Africa,Temporary suspension of deportation,9954,4275
2007-12-31,Africa,Permission to reside,2018,1421
2007-12-31,Africa,"No res.title, temp.susp. of dep. or perm.to reside",11414,6071
2007-12-31,America,Right of resid. acc.to EU Law on Freedom of Movem.,3205,5649
2007-12-31,America,Exempted from requirem. to have a residence title,1955,1088
2007-12-31,America,Unlimited settlement permit,40478,50953
2007-12-31,America,Temporary residence permit,44181,50428
2007-12-31,America,Temporary residence permit for education purposes,9160,8949
2007-12-31,America,Temporary residence permit for employment purposes,9698,5441
2007-12-31,America,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",288,357
2007-12-31,America,Temporary residence permit for family reasons,12508,22927
2007-12-31,America,"Temp.resid.permit f.special reasons,national visas",12527,12754
2007-12-31,America,Application for residence title filed,1742,1882
2007-12-31,America,Temporary suspension of deportation,181,204
2007-12-31,America,Permission to reside,77,52
2007-12-31,America,"No res.title, temp.susp. of dep. or perm.to reside",7065,6499
2007-12-31,Asia,Right of resid. acc.to EU Law on Freedom of Movem.,2659,3929
2007-12-31,Asia,Exempted from requirem. to have a residence title,236,272
2007-12-31,Asia,Unlimited settlement permit,115432,143252
2007-12-31,Asia,Temporary residence permit,203247,215423
2007-12-31,Asia,Temporary residence permit for education purposes,38856,33041
2007-12-31,Asia,Temporary residence permit for employment purposes,24755,9205
2007-12-31,Asia,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",41427,32158
2007-12-31,Asia,Temporary residence permit for family reasons,63670,108268
2007-12-31,Asia,"Temp.resid.permit f.special reasons,national visas",34539,32751
2007-12-31,Asia,Application for residence title filed,12338,10399
2007-12-31,Asia,Temporary suspension of deportation,32181,16896
2007-12-31,Asia,Permission to reside,6704,3446
2007-12-31,Asia,"No res.title, temp.susp. of dep. or perm.to reside",26223,17296
2007-12-31,Australia and Oceania,Right of resid. acc.to EU Law on Freedom of Movem.,226,271
2007-12-31,Australia and Oceania,Exempted from requirem. to have a residence title,25,34
2007-12-31,Australia and Oceania,Unlimited settlement permit,1858,1916
2007-12-31,Australia and Oceania,Temporary residence permit,3056,2587
2007-12-31,Australia and Oceania,Temporary residence permit for education purposes,367,414
2007-12-31,Australia and Oceania,Temporary residence permit for employment purposes,1019,568
2007-12-31,Australia and Oceania,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",2,8
2007-12-31,Australia and Oceania,Temporary residence permit for family reasons,676,704
2007-12-31,Australia and Oceania,"Temp.resid.permit f.special reasons,national visas",992,893
2007-12-31,Australia and Oceania,Application for residence title filed,129,88
2007-12-31,Australia and Oceania,Temporary suspension of deportation,3,3
2007-12-31,Australia and Oceania,"No res.title, temp.susp. of dep. or perm.to reside",580,334
2008-12-31,Europe,Right of resid. acc.to EU Law on Freedom of Movem.,1250749,1146415
2008-12-31,Europe,Exempted from requirem. to have a residence title,5351,4390
2008-12-31,Europe,Unlimited settlement permit,1018787,932004
2008-12-31,Europe,Temporary residence permit,389926,465334
2008-12-31,Europe,Temporary residence permit for education purposes,9830,15608
2008-12-31,Europe,Temporary residence permit for employment purposes,16500,6839
2008-12-31,Europe,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",37671,38947
2008-12-31,Europe,Temporary residence permit for family reasons,190831,269569
2008-12-31,Europe,"Temp.resid.permit f.special reasons,national visas",135094,134371
2008-12-31,Europe,Application for residence title filed,16656,13395
2008-12-31,Europe,Temporary suspension of deportation,21181,18285
2008-12-31,Europe,Permission to reside,2605,1721
2008-12-31,Europe,"No res.title, temp.susp. of dep. or perm.to reside",43231,32288
2008-12-31,Africa,Right of resid. acc.to EU Law on Freedom of Movem.,3060,2232
2008-12-31,Africa,Exempted from requirem. to have a residence title,332,292
2008-12-31,Africa,Unlimited settlement permit,57634,37314
2008-12-31,Africa,Temporary residence permit,65816,59313
2008-12-31,Africa,Temporary residence permit for education purposes,13958,4700
2008-12-31,Africa,Temporary residence permit for employment purposes,2619,1445
2008-12-31,Africa,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",8872,8571
2008-12-31,Africa,Temporary residence permit for family reasons,30467,36458
2008-12-31,Africa,"Temp.resid.permit f.special reasons,national visas",9900,8139
2008-12-31,Africa,Application for residence title filed,5613,3443
2008-12-31,Africa,Temporary suspension of deportation,8431,3451
2008-12-31,Africa,Permission to reside,2130,1343
2008-12-31,Africa,"No res.title, temp.susp. of dep. or perm.to reside",11019,6061
2008-12-31,America,Right of resid. acc.to EU Law on Freedom of Movem.,3489,5969
2008-12-31,America,Exempted from requirem. to have a residence title,1809,991
2008-12-31,America,Unlimited settlement permit,40890,51867
2008-12-31,America,Temporary residence permit,44161,49150
2008-12-31,America,Temporary residence permit for education purposes,10160,9532
2008-12-31,America,Temporary residence permit for employment purposes,10853,6169
2008-12-31,America,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",312,382
2008-12-31,America,Temporary residence permit for family reasons,13535,23874
2008-12-31,America,"Temp.resid.permit f.special reasons,national visas",9301,9193
2008-12-31,America,Application for residence title filed,1846,2054
2008-12-31,America,Temporary suspension of deportation,185,191
2008-12-31,America,Permission to reside,46,36
2008-12-31,America,"No res.title, temp.susp. of dep. or perm.to reside",7114,6465
2008-12-31,Asia,Right of resid. acc.to EU Law on Freedom of Movem.,2848,4239
2008-12-31,Asia,Exempted from requirem. to have a residence title,210,259
2008-12-31,Asia,Unlimited settlement permit,125973,154315
2008-12-31,Asia,Temporary residence permit,195536,209226
2008-12-31,Asia,Temporary residence permit for education purposes,39596,33466
2008-12-31,Asia,Temporary residence permit for employment purposes,27944,10319
2008-12-31,Asia,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",36429,29630
2008-12-31,Asia,Temporary residence permit for family reasons,65048,111003
2008-12-31,Asia,"Temp.resid.permit f.special reasons,national visas",26519,24808
2008-12-31,Asia,Application for residence title filed,12505,10560
2008-12-31,Asia,Temporary suspension of deportation,27553,13505
2008-12-31,Asia,Permission to reside,7127,3240
2008-12-31,Asia,"No res.title, temp.susp. of dep. or perm.to reside",24993,16535
2008-12-31,Australia and Oceania,Right of resid. acc.to EU Law on Freedom of Movem.,253,289
2008-12-31,Australia and Oceania,Exempted from requirem. to have a residence title,22,30
2008-12-31,Australia and Oceania,Unlimited settlement permit,1949,1954
2008-12-31,Australia and Oceania,Temporary residence permit,3066,2480
2008-12-31,Australia and Oceania,Temporary residence permit for education purposes,403,419
2008-12-31,Australia and Oceania,Temporary residence permit for employment purposes,1182,685
2008-12-31,Australia and Oceania,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",4,10
2008-12-31,Australia and Oceania,Temporary residence permit for family reasons,762,742
2008-12-31,Australia and Oceania,"Temp.resid.permit f.special reasons,national visas",715,624
2008-12-31,Australia and Oceania,Application for residence title filed,127,81
2008-12-31,Australia and Oceania,Temporary suspension of deportation,3,3
2008-12-31,Australia and Oceania,"No res.title, temp.susp. of dep. or perm.to reside",600,348
2009-12-31,Europe,Right of resid. acc.to EU Law on Freedom of Movem.,1251858,1152029
2009-12-31,Europe,Exempted from requirem. to have a residence title,4463,3722
2009-12-31,Europe,Unlimited settlement permit,1027212,951153
2009-12-31,Europe,Temporary residence permit,359324,436906
2009-12-31,Europe,Temporary residence permit for education purposes,9475,15423
2009-12-31,Europe,Temporary residence permit for employment purposes,15669,6725
2009-12-31,Europe,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",38940,40986
2009-12-31,Europe,Temporary residence permit for family reasons,187620,267014
2009-12-31,Europe,"Temp.resid.permit f.special reasons,national visas",107620,106758
2009-12-31,Europe,Application for residence title filed,17750,14439
2009-12-31,Europe,Temporary suspension of deportation,17543,14740
2009-12-31,Europe,Permission to reside,2968,2010
2009-12-31,Europe,"No res.title, temp.susp. of dep. or perm.to reside",40709,30580
2009-12-31,Africa,Right of resid. acc.to EU Law on Freedom of Movem.,3115,2314
2009-12-31,Africa,Exempted from requirem. to have a residence title,255,238
2009-12-31,Africa,Unlimited settlement permit,58466,38940
2009-12-31,Africa,Temporary residence permit,63968,59484
2009-12-31,Africa,Temporary residence permit for education purposes,13360,4786
2009-12-31,Africa,Temporary residence permit for employment purposes,2372,1570
2009-12-31,Africa,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",9093,8829
2009-12-31,Africa,Temporary residence permit for family reasons,30904,37724
2009-12-31,Africa,"Temp.resid.permit f.special reasons,national visas",8239,6575
2009-12-31,Africa,Application for residence title filed,5716,3535
2009-12-31,Africa,Temporary suspension of deportation,7563,2909
2009-12-31,Africa,Permission to reside,2916,1673
2009-12-31,Africa,"No res.title, temp.susp. of dep. or perm.to reside",10823,5985
2009-12-31,America,Right of resid. acc.to EU Law on Freedom of Movem.,3673,6338
2009-12-31,America,Exempted from requirem. to have a residence title,1648,851
2009-12-31,America,Unlimited settlement permit,41186,52436
2009-12-31,America,Temporary residence permit,43486,48166
2009-12-31,America,Temporary residence permit for education purposes,10956,10222
2009-12-31,America,Temporary residence permit for employment purposes,10458,6125
2009-12-31,America,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",330,409
2009-12-31,America,Temporary residence permit for family reasons,14126,23852
2009-12-31,America,"Temp.resid.permit f.special reasons,national visas",7616,7558
2009-12-31,America,Application for residence title filed,1902,2019
2009-12-31,America,Temporary suspension of deportation,179,214
2009-12-31,America,Permission to reside,40,19
2009-12-31,America,"No res.title, temp.susp. of dep. or perm.to reside",6690,6248
2009-12-31,Asia,Right of resid. acc.to EU Law on Freedom of Movem.,3074,4528
2009-12-31,Asia,Exempted from requirem. to have a residence title,193,235
2009-12-31,Asia,Unlimited settlement permit,130284,161417
2009-12-31,Asia,Temporary residence permit,192359,208079
2009-12-31,Asia,Temporary residence permit for education purposes,40640,33993
2009-12-31,Asia,Temporary residence permit for employment purposes,26838,10189
2009-12-31,Asia,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",39357,31688
2009-12-31,Asia,Temporary residence permit for family reasons,65184,113065
2009-12-31,Asia,"Temp.resid.permit f.special reasons,national visas",20340,19144
2009-12-31,Asia,Application for residence title filed,11895,9758
2009-12-31,Asia,Temporary suspension of deportation,24562,11292
2009-12-31,Asia,Permission to reside,9445,4610
2009-12-31,Asia,"No res.title, temp.susp. of dep. or perm.to reside",24748,15842
2009-12-31,Australia and Oceania,Right of resid. acc.to EU Law on Freedom of Movem.,255,315
2009-12-31,Australia and Oceania,Exempted from requirem. to have a residence title,17,22
2009-12-31,Australia and Oceania,Unlimited settlement permit,1989,1992
2009-12-31,Australia and Oceania,Temporary residence permit,3115,2533
2009-12-31,Australia and Oceania,Temporary residence permit for education purposes,429,485
2009-12-31,Australia and Oceania,Temporary residence permit for employment purposes,1204,722
2009-12-31,Australia and Oceania,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",2,7
2009-12-31,Australia and Oceania,Temporary residence permit for family reasons,816,770
2009-12-31,Australia and Oceania,"Temp.resid.permit f.special reasons,national visas",664,549
2009-12-31,Australia and Oceania,Application for residence title filed,134,87
2009-12-31,Australia and Oceania,Temporary suspension of deportation,3,3
2009-12-31,Australia and Oceania,"No res.title, temp.susp. of dep. or perm.to reside",583,344
2010-12-31,Europe,Right of resid. acc.to EU Law on Freedom of Movem.,1298915,1180239
2010-12-31,Europe,Exempted from requirem. to have a residence title,3902,3234
2010-12-31,Europe,Unlimited settlement permit,1036752,970845
2010-12-31,Europe,Temporary residence permit,333651,411092
2010-12-31,Europe,Temporary residence permit for education purposes,9202,15299
2010-12-31,Europe,Temporary residence permit for employment purposes,16396,6852
2010-12-31,Europe,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",40689,43361
2010-12-31,Europe,Temporary residence permit for family reasons,180851,259693
2010-12-31,Europe,"Temp.resid.permit f.special reasons,national visas",86513,85887
2010-12-31,Europe,Application for residence title filed,17079,13766
2010-12-31,Europe,Temporary suspension of deportation,17408,14673
2010-12-31,Europe,Permission to reside,4806,3931
2010-12-31,Europe,"No res.title, temp.susp. of dep. or perm.to reside",36425,27874
2010-12-31,Africa,Right of resid. acc.to EU Law on Freedom of Movem.,3236,2428
2010-12-31,Africa,Exempted from requirem. to have a residence title,225,213
2010-12-31,Africa,Unlimited settlement permit,59215,40421
2010-12-31,Africa,Temporary residence permit,62887,59644
2010-12-31,Africa,Temporary residence permit for education purposes,12751,4950
2010-12-31,Africa,Temporary residence permit for employment purposes,2530,1630
2010-12-31,Africa,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",9561,8979
2010-12-31,Africa,Temporary residence permit for family reasons,30956,38562
2010-12-31,Africa,"Temp.resid.permit f.special reasons,national visas",7089,5523
2010-12-31,Africa,Application for residence title filed,6035,4238
2010-12-31,Africa,Temporary suspension of deportation,7675,2871
2010-12-31,Africa,Permission to reside,4398,2072
2010-12-31,Africa,"No res.title, temp.susp. of dep. or perm.to reside",9791,5613
2010-12-31,America,Right of resid. acc.to EU Law on Freedom of Movem.,3859,6747
2010-12-31,America,Exempted from requirem. to have a residence title,1601,841
2010-12-31,America,Unlimited settlement permit,41515,53162
2010-12-31,America,Temporary residence permit,43633,48131
2010-12-31,America,Temporary residence permit for education purposes,11401,10649
2010-12-31,America,Temporary residence permit for employment purposes,10543,6378
2010-12-31,America,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",364,445
2010-12-31,America,Temporary residence permit for family reasons,14722,24061
2010-12-31,America,"Temp.resid.permit f.special reasons,national visas",6603,6598
2010-12-31,America,Application for residence title filed,1959,2056
2010-12-31,America,Temporary suspension of deportation,172,185
2010-12-31,America,Permission to reside,28,16
2010-12-31,America,"No res.title, temp.susp. of dep. or perm.to reside",5864,5425
2010-12-31,Asia,Right of resid. acc.to EU Law on Freedom of Movem.,3321,4830
2010-12-31,Asia,Exempted from requirem. to have a residence title,186,220
2010-12-31,Asia,Unlimited settlement permit,132735,167025
2010-12-31,Asia,Temporary residence permit,192742,208735
2010-12-31,Asia,Temporary residence permit for education purposes,42020,34618
2010-12-31,Asia,Temporary residence permit for employment purposes,27746,10528
2010-12-31,Asia,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",42248,34137
2010-12-31,Asia,Temporary residence permit for family reasons,64357,114195
2010-12-31,Asia,"Temp.resid.permit f.special reasons,national visas",16371,15257
2010-12-31,Asia,Application for residence title filed,11114,9332
2010-12-31,Asia,Temporary suspension of deportation,23746,10604
2010-12-31,Asia,Permission to reside,13264,6136
2010-12-31,Asia,"No res.title, temp.susp. of dep. or perm.to reside",22907,14681
2010-12-31,Australia and Oceania,Right of resid. acc.to EU Law on Freedom of Movem.,269,331
2010-12-31,Australia and Oceania,Exempted from requirem. to have a residence title,16,20
2010-12-31,Australia and Oceania,Unlimited settlement permit,2059,2015
2010-12-31,Australia and Oceania,Temporary residence permit,3356,2653
2010-12-31,Australia and Oceania,Temporary residence permit for education purposes,482,469
2010-12-31,Australia and Oceania,Temporary residence permit for employment purposes,1289,805
2010-12-31,Australia and Oceania,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",7,13
2010-12-31,Australia and Oceania,Temporary residence permit for family reasons,894,835
2010-12-31,Australia and Oceania,"Temp.resid.permit f.special reasons,national visas",684,531
2010-12-31,Australia and Oceania,Application for residence title filed,155,83
2010-12-31,Australia and Oceania,Temporary suspension of deportation,3,3
2010-12-31,Australia and Oceania,"No res.title, temp.susp. of dep. or perm.to reside",591,338
2011-12-31,Europe,Right of resid. acc.to EU Law on Freedom of Movem.,1395877,1238614
2011-12-31,Europe,Exempted from requirem. to have a residence title,3477,2874
2011-12-31,Europe,Unlimited settlement permit,1041732,985143
2011-12-31,Europe,Temporary residence permit,299494,374754
2011-12-31,Europe,Temporary residence permit for education purposes,8434,14248
2011-12-31,Europe,Temporary residence permit for employment purposes,16929,7238
2011-12-31,Europe,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",34516,37452
2011-12-31,Europe,Temporary residence permit for family reasons,173069,249315
2011-12-31,Europe,"Temp.resid.permit f.special reasons,national visas",66546,66501
2011-12-31,Europe,Application for residence title filed,30691,28598
2011-12-31,Europe,Temporary suspension of deportation,17317,14865
2011-12-31,Europe,Permission to reside,5047,3985
2011-12-31,Europe,"No res.title, temp.susp. of dep. or perm.to reside",37214,29464
2011-12-31,Africa,Right of resid. acc.to EU Law on Freedom of Movem.,3420,2581
2011-12-31,Africa,Exempted from requirem. to have a residence title,227,213
2011-12-31,Africa,Unlimited settlement permit,59048,40974
2011-12-31,Africa,Temporary residence permit,59579,57704
2011-12-31,Africa,Temporary residence permit for education purposes,11121,4712
2011-12-31,Africa,Temporary residence permit for employment purposes,2710,1539
2011-12-31,Africa,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",9811,8646
2011-12-31,Africa,Temporary residence permit for family reasons,29537,37966
2011-12-31,Africa,"Temp.resid.permit f.special reasons,national visas",6400,4841
2011-12-31,Africa,Application for residence title filed,9589,7275
2011-12-31,Africa,Temporary suspension of deportation,8165,2962
2011-12-31,Africa,Permission to reside,4786,2278
2011-12-31,Africa,"No res.title, temp.susp. of dep. or perm.to reside",10588,6245
2011-12-31,America,Right of resid. acc.to EU Law on Freedom of Movem.,4163,7119
2011-12-31,America,Exempted from requirem. to have a residence title,1576,843
2011-12-31,America,Unlimited settlement permit,41891,53309
2011-12-31,America,Temporary residence permit,44597,48383
2011-12-31,America,Temporary residence permit for education purposes,11225,10677
2011-12-31,America,Temporary residence permit for employment purposes,11574,7035
2011-12-31,America,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",395,467
2011-12-31,America,Temporary residence permit for family reasons,15073,23827
2011-12-31,America,"Temp.resid.permit f.special reasons,national visas",6330,6377
2011-12-31,America,Application for residence title filed,4098,4188
2011-12-31,America,Temporary suspension of deportation,186,194
2011-12-31,America,Permission to reside,57,48
2011-12-31,America,"No res.title, temp.susp. of dep. or perm.to reside",6616,6393
2011-12-31,Asia,Right of resid. acc.to EU Law on Freedom of Movem.,3550,5188
2011-12-31,Asia,Exempted from requirem. to have a residence title,192,228
2011-12-31,Asia,Unlimited settlement permit,135704,171237
2011-12-31,Asia,Temporary residence permit,185043,201712
2011-12-31,Asia,Temporary residence permit for education purposes,39461,32152
2011-12-31,Asia,Temporary residence permit for employment purposes,29552,11384
2011-12-31,Asia,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",39921,32896
2011-12-31,Asia,Temporary residence permit for family reasons,61477,111676
2011-12-31,Asia,"Temp.resid.permit f.special reasons,national visas",14632,13604
2011-12-31,Asia,Application for residence title filed,21717,18942
2011-12-31,Asia,Temporary suspension of deportation,24189,10563
2011-12-31,Asia,Permission to reside,19870,9731
2011-12-31,Asia,"No res.title, temp.susp. of dep. or perm.to reside",26119,18305
2011-12-31,Australia and Oceania,Right of resid. acc.to EU Law on Freedom of Movem.,300,349
2011-12-31,Australia and Oceania,Exempted from requirem. to have a residence title,20,21
2011-12-31,Australia and Oceania,Unlimited settlement permit,2151,2064
2011-12-31,Australia and Oceania,Temporary residence permit,3695,2938
2011-12-31,Australia and Oceania,Temporary residence permit for education purposes,496,498
2011-12-31,Australia and Oceania,Temporary residence permit for employment purposes,1473,953
2011-12-31,Australia and Oceania,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",8,14
2011-12-31,Australia and Oceania,Temporary residence permit for family reasons,972,879
2011-12-31,Australia and Oceania,"Temp.resid.permit f.special reasons,national visas",746,594
2011-12-31,Australia and Oceania,Application for residence title filed,271,174
2011-12-31,Australia and Oceania,Temporary suspension of deportation,2,2
2011-12-31,Australia and Oceania,"No res.title, temp.susp. of dep. or perm.to reside",674,411
2012-12-31,Europe,Right of resid. acc.to EU Law on Freedom of Movem.,1533303,1328809
2012-12-31,Europe,Exempted from requirem. to have a residence title,3105,2594
2012-12-31,Europe,Unlimited settlement permit,1046036,1002054
2012-12-31,Europe,Temporary residence permit,279128,353577
2012-12-31,Europe,Temporary residence permit for education purposes,8747,14771
2012-12-31,Europe,Temporary residence permit for employment purposes,18954,8324
2012-12-31,Europe,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",35981,39084
2012-12-31,Europe,Temporary residence permit for family reasons,164197,240131
2012-12-31,Europe,"Temp.resid.permit f.special reasons,national visas",51249,51267
2012-12-31,Europe,Application for residence title filed,28242,25877
2012-12-31,Europe,Temporary suspension of deportation,18559,15971
2012-12-31,Europe,Permission to reside,7972,6708
2012-12-31,Europe,"No res.title, temp.susp. of dep. or perm.to reside",41975,32992
2012-12-31,Africa,Right of resid. acc.to EU Law on Freedom of Movem.,3738,2939
2012-12-31,Africa,Exempted from requirem. to have a residence title,223,202
2012-12-31,Africa,Unlimited settlement permit,59839,42197
2012-12-31,Africa,Temporary residence permit,62215,60097
2012-12-31,Africa,Temporary residence permit for education purposes,11569,5209
2012-12-31,Africa,Temporary residence permit for employment purposes,3154,1550
2012-12-31,Africa,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",11915,9603
2012-12-31,Africa,Temporary residence permit for family reasons,29747,39373
2012-12-31,Africa,"Temp.resid.permit f.special reasons,national visas",5830,4362
2012-12-31,Africa,Application for residence title filed,9902,7210
2012-12-31,Africa,Temporary suspension of deportation,8361,2941
2012-12-31,Africa,Permission to reside,6799,3046
2012-12-31,Africa,"No res.title, temp.susp. of dep. or perm.to reside",11530,6715
2012-12-31,America,Right of resid. acc.to EU Law on Freedom of Movem.,4567,7646
2012-12-31,America,Exempted from requirem. to have a residence title,1508,797
2012-12-31,America,Unlimited settlement permit,42624,54015
2012-12-31,America,Temporary residence permit,47399,50587
2012-12-31,America,Temporary residence permit for education purposes,12178,11593
2012-12-31,America,Temporary residence permit for employment purposes,12796,7973
2012-12-31,America,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",496,548
2012-12-31,America,Temporary residence permit for family reasons,15904,24342
2012-12-31,America,"Temp.resid.permit f.special reasons,national visas",6025,6131
2012-12-31,America,Application for residence title filed,4310,4447
2012-12-31,America,Temporary suspension of deportation,181,171
2012-12-31,America,Permission to reside,96,44
2012-12-31,America,"No res.title, temp.susp. of dep. or perm.to reside",7105,6651
2012-12-31,Asia,Right of resid. acc.to EU Law on Freedom of Movem.,3949,5734
2012-12-31,Asia,Exempted from requirem. to have a residence title,181,215
2012-12-31,Asia,Unlimited settlement permit,140906,177270
2012-12-31,Asia,Temporary residence permit,197620,211840
2012-12-31,Asia,Temporary residence permit for education purposes,44185,35564
2012-12-31,Asia,Temporary residence permit for employment purposes,33366,12842
2012-12-31,Asia,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",45953,37761
2012-12-31,Asia,Temporary residence permit for family reasons,60791,113278
2012-12-31,Asia,"Temp.resid.permit f.special reasons,national visas",13325,12395
2012-12-31,Asia,Application for residence title filed,20640,17650
2012-12-31,Asia,Temporary suspension of deportation,22746,9229
2012-12-31,Asia,Permission to reside,26874,13199
2012-12-31,Asia,"No res.title, temp.susp. of dep. or perm.to reside",28980,19898
2012-12-31,Australia and Oceania,Right of resid. acc.to EU Law on Freedom of Movem.,324,369
2012-12-31,Australia and Oceania,Exempted from requirem. to have a residence title,21,20
2012-12-31,Australia and Oceania,Unlimited settlement permit,2230,2133
2012-12-31,Australia and Oceania,Temporary residence permit,3998,3156
2012-12-31,Australia and Oceania,Temporary residence permit for education purposes,564,515
2012-12-31,Australia and Oceania,Temporary residence permit for employment purposes,1655,1139
2012-12-31,Australia and Oceania,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",17,19
2012-12-31,Australia and Oceania,Temporary residence permit for family reasons,1041,884
2012-12-31,Australia and Oceania,"Temp.resid.permit f.special reasons,national visas",721,599
2012-12-31,Australia and Oceania,Application for residence title filed,274,188
2012-12-31,Australia and Oceania,Temporary suspension of deportation,4,3
2012-12-31,Australia and Oceania,"No res.title, temp.susp. of dep. or perm.to reside",677,428
2013-12-31,Europe,Right of resid. acc.to EU Law on Freedom of Movem.,1827986,1569156
2013-12-31,Europe,Exempted from requirem. to have a residence title,2837,2414
2013-12-31,Europe,Unlimited settlement permit,956760,915354
2013-12-31,Europe,Temporary residence permit,247393,323812
2013-12-31,Europe,Temporary residence permit for education purposes,9150,15337
2013-12-31,Europe,Temporary residence permit for employment purposes,15378,8312
2013-12-31,Europe,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",33738,36950
2013-12-31,Europe,Temporary residence permit for family reasons,146059,220289
2013-12-31,Europe,"Temp.resid.permit f.special reasons,national visas",43068,42924
2013-12-31,Europe,Application for residence title filed,27575,25338
2013-12-31,Europe,Temporary suspension of deportation,22209,19340
2013-12-31,Europe,Permission to reside,15830,13977
2013-12-31,Europe,"No res.title, temp.susp. of dep. or perm.to reside",44878,36937
2013-12-31,Africa,Right of resid. acc.to EU Law on Freedom of Movem.,3458,2806
2013-12-31,Africa,Exempted from requirem. to have a residence title,218,203
2013-12-31,Africa,Unlimited settlement permit,60618,43346
2013-12-31,Africa,Temporary residence permit,65538,62925
2013-12-31,Africa,Temporary residence permit for education purposes,12573,5802
2013-12-31,Africa,Temporary residence permit for employment purposes,3656,1680
2013-12-31,Africa,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",13306,10211
2013-12-31,Africa,Temporary residence permit for family reasons,30157,41049
2013-12-31,Africa,"Temp.resid.permit f.special reasons,national visas",5846,4183
2013-12-31,Africa,Application for residence title filed,11021,7648
2013-12-31,Africa,Temporary suspension of deportation,9826,3113
2013-12-31,Africa,Permission to reside,18949,6291
2013-12-31,Africa,"No res.title, temp.susp. of dep. or perm.to reside",14387,8230
2013-12-31,America,Right of resid. acc.to EU Law on Freedom of Movem.,3419,6388
2013-12-31,America,Exempted from requirem. to have a residence title,1425,745
